DeploymentID,City,State,Agency,TechnologyID,VendorID,Summary,Link,Latitude,Longitude
3760,Bellwood,IL,Bellwood Police Department,1,4,"As of July 2018, all Bellwood Police Department officers wear body-worn cameras.",https://www.documentcloud.org/documents/6793300-Illinois-BWC-2018.html,41.8814197,-87.883117
3761,Berkeley,IL,Berkeley Police Department,1,155,Berkeley Police Department had 25 Titan body-worn cameras in 2018.,https://www.documentcloud.org/documents/6793300-Illinois-BWC-2018.html,41.8889194,-87.9033956
3762,Bloomington,IL,Bloomington Police Department,1,6,"As of 2019, 97 Bloomington Police Department officers wear Axon body-worn cameras.",https://www.documentcloud.org/documents/6793300-Illinois-BWC-2018.html,40.4797828,-88.9939147
3763,Bourbonnais,IL,Bourbonnais Police Department,1,4,"The Bourbonnais Police Department uses body-worn cameras, according to a 2018 report by the Illinois Law Enforcement Training and Standards Board.",https://www.documentcloud.org/documents/6793300-Illinois-BWC-2018.html,41.1639309,-87.8839693
3764,Broadview,IL,Broadview Police Department,1,4,The Broadview Police Department implemented its body-worn camera program in August 2016. The department has 31 body-worn cameras.,https://www.documentcloud.org/documents/6793300-Illinois-BWC-2018.html,41.863965,-87.8533732
3765,Centralia,IL,Centralia Police Department,1,4,The Centralia Police Department initiated its body-worn camera program in July 2018. The department has 20 cameras.,https://www.documentcloud.org/documents/6793300-Illinois-BWC-2018.html,38.5250491,-89.1334037
3766,Urbana,IL,Champaign County Sheriff's Office,1,21,The Champaign County Sheriff’s Office began a body-worn camera program in February 2015. Forty-seven officers wear VIEVU body-worn cameras.,https://www.documentcloud.org/documents/6793300-Illinois-BWC-2018.html,40.1117174,-88.207301
3767,Champaign,IL,Champaign Police Department,1,11,The Champaign Police Department equipped all 122 of its officers with Panasonic body-worn cameras in 2018.,https://www.documentcloud.org/documents/6793300-Illinois-BWC-2018.html,40.1164841,-88.2430932
3768,Chenoa,IL,Chenoa Police Department,1,4,"As of 2019, the Chenoa Police Department has seven body-worn cameras, which are shared between 13 officers.",https://www.documentcloud.org/documents/6793300-Illinois-BWC-2018.html,40.7417014,-88.7197856
3769,Chicago,IL,Chicago Police Department,1,4,"The Chicago Police Department uses approximately 7,650 body-worn cameras.",https://www.documentcloud.org/documents/6793300-Illinois-BWC-2018.html,41.8755616,-87.6244212
3770,Chillicothe,IL,Chillicothe Police Department,1,4,The Chillicothe Police Department has 10 body-worn cameras as of October 2018.,https://www.documentcloud.org/documents/6793300-Illinois-BWC-2018.html,40.9161637,-89.4884384
3771,Chrisman,IL,Chrisman Police Department,1,4,The Chrisman Police Department had one body-worn camera as of 2019.,https://www.documentcloud.org/documents/6793300-Illinois-BWC-2018.html,39.8036467,-87.673635
3772,Taylorville,IL,Christian County Sheriff's Office,1,4,"The Christian County Sheriff’s Office uses body-worn cameras, according to a 2018 report by the Illinois Law Enforcement Training and Standards Board.",https://www.documentcloud.org/documents/6793300-Illinois-BWC-2018.html,39.5487452,-89.2941549
3773,Charleston,IL,Coles County Sheriff's Office,1,4,The Coles County Sheriff’s Office has 19 body-worn cameras as of 2019.,https://www.documentcloud.org/documents/6793300-Illinois-BWC-2018.html,39.4961458,-88.1761521
3774,Chicago,IL,Cook County Sheriff's Office,1,6,"The Cook County Sheriff’s Office uses Axon body-worn camera across all departments. This includes: 399 BWCs in the police department, 164 BWCs in the courts, 117 BWCs in corrections department, 125 BWCs in community corrections, 16 BWCs in strategic operations, and 10 BWCs in the training academy, and 21 additional BWCs.",https://www.documentcloud.org/documents/6793300-Illinois-BWC-2018.html,41.8755616,-87.6244212
3775,Country Club Hills,IL,Country Club Hills Police Department,1,4,"The Country Club Hills Police Department uses body-worn cameras, according to a 2018 report by the Illinois Law Enforcement Training and Standards Board.",https://www.documentcloud.org/documents/6793300-Illinois-BWC-2018.html,41.5680898,-87.7203257
3776,Delavan,IL,Delavan Police Department,1,4,"The Delavan Police Department uses body-worn cameras, according to a 2018 report by the Illinois Law Enforcement Training and Standards Board.",https://www.documentcloud.org/documents/6793300-Illinois-BWC-2018.html,40.3725415,-89.5473245
3777,Des Plaines,IL,Des Plaines Police Department,1,156,"As of 2019, the Des Plaines Police Department shares 48 body-worn cameras between 72 officers.",https://www.documentcloud.org/documents/6793300-Illinois-BWC-2018.html,42.0415823,-87.8873916
3778,Du Quoin,IL,Du Quoin Police Department,1,4,The Du Quoin Police Department uses 11 body-worn cameras.,https://www.documentcloud.org/documents/6793300-Illinois-BWC-2018.html,38.0114393,-89.2361935
3779,East Peoria,IL,East Peoria Police Department,1,6,The East Peoria Police Department purchased 49 Axon body-worn cameras in 2022.,https://www.hoiabc.com/2022/06/08/east-peoria-signs-800k-contract-new-police-body-cams-other-video-tools/,40.666149,-89.5800978
