City,State,Agency,tech_type,Vendor,date,year
Morgan HIll,CA,Morgan Hill Police Department,Predictive Policing,Geolitica,,
Suisun City,CA,Suisun City Police Department,Body-worn Cameras,Axon,07/24/2018,2018.0
Monterey,CA,Monterey Police Department,Predictive Policing,Geolitica,2017-2019,
Watsonville,CA,Watsonville Police Department,Body-worn Cameras,Axon,07/22/19,2019.0
San Antonio,TX,University of Texas System Police - Health Science Center San Antonio,Body-worn Cameras,,2013,2013.0
Modesto,CA,Stanislaus County Sheriff's Office,Body-worn Cameras,Axon,8/9/2019,2019.0
Lemoore,CA,Lemoore Police Department,Body-worn Cameras,,05/29/15,2015.0
Fresno,CA,Fresno Police Department,Predictive Policing,Geolitica,3/31/2016,2016.0
Manahawkin,NJ,Stafford Township Police Department,Drones,,10/02/2019,2019.0
Modesto,CA,Modesto Police Department,Predictive Policing,Geolitica,11/12/2014,2014.0
Riverside,CA,Riverside County Sheriff's Department,Face Recognition,DataWorks Plus,,
San Bernardino,CA,San Bernardino County Sheriff's Department,Face Recognition,,8/1/2019,2019.0
Miami,FL,Miami-Dade Police Department,Face Recognition,DataWorks Plus,02/07/2017,2017.0
Miami,FL,Miami-Dade Corrections and Rehabilitation,Face Recognition,DataWorks Plus,02/07/2018,2018.0
Miami,FL,Miami-Dade Juvenile Services Department,Face Recognition,DataWorks Plus,02/07/2019,2019.0
North Chesterfield,VA,Virginia State Police,Face Recognition,DataWorks Plus,2016,2016.0
Henrico,VA,Henrico County Police Division,Body-worn Cameras,Axon,02/05/2016,2016.0
San Francisco,CA,San Francisco Police Department,Body-worn Cameras,Axon,06/01/2016,2016.0
Evanston,IL,Northwestern University Police Department,Body-worn Cameras,Axon,2019,2019.0
Cleveland,OH,Cuyahoga County Sheriff's Department,Automated License Plate Readers,Selex,1/9/2019,2019.0
Cleveland,OH,Cleveland Police Department,Automated License Plate Readers,"Flock Safety, Selex",1/9/2019,2019.0
Cleveland Heights,OH,Cleveland Heights Police Department,Automated License Plate Readers,Selex,1/9/2019,2019.0
Euclid,OH,Euclid Police Department,Automated License Plate Readers,Flock Safety,,
