City,State,Agency,tech_type,Vendor,date,year
Sikeston,MO,Sikeston Department of Public Safety,Gunshot Detection,SoundThinking,9/27/2023,2023.0
Leesburg,VA,Loudoun County Sheriff's Office,Third-party Investigative Platforms,Thomson Reuters,4/7/2024,2024.0
Augusta,ME,Maine Information and Analysis Center,Third-party Investigative Platforms,TransUnion,4/1/2022,2022.0
Springfield,IL,Illinois State Police,Third-party Investigative Platforms,TransUnion,1/1/2024,2024.0
Springfield,IL,Illinois State Police,Third-party Investigative Platforms,LexisNexis,1/1/2024,2024.0
Anne Arundel,MD,Maryland State Police,Third-party Investigative Platforms,TransUnion,11/7/2022,2022.0
Chicago,IL,Chicago Police Department,Video Analytics,BriefCam,,
West Palm Beach,FL,West Palm Beach Police Department,Video Analytics,BriefCam,,
Las Cruces,NM,Las Cruces Police Department,Face Recognition,Clearview AI,12/3/2023,2023.0
Santa Fe,NM,New Mexico State Police,Face Recognition,Clearview AI,12/3/2023,2023.0
Albuquerque,NM,Albuquerque Police Department,Face Recognition,Clearview AI,12/3/2023,2023.0
Rio Rancho,NM,Rio Rancho Police Department,Face Recognition,Clearview AI,12/3/2023,2023.0
Camanche,IA,Camanche Police Department,Automated License Plate Readers,Flock Safety,1/10/2024,2024.0
Carter Lake,IA,Carter Lake Police Department,Automated License Plate Readers,Flock Safety,1/10/2024,2024.0
Clive,IA,Clive Police Department,Automated License Plate Readers,Flock Safety,,
Council Bluffs,IA,Council Bluffs Police Department,Automated License Plate Readers,Flock Safety,,
Glenwood,IA,Glenwood Police Department,Automated License Plate Readers,Flock Safety,1/10/2024,2024.0
Marshalltown,IA,Marshalltown Police Department,Automated License Plate Readers,Flock Safety,1/10/2024,2024.0
Newton,IA,Newton Police Department,Automated License Plate Readers,Flock Safety,1/10/2024,2024.0
Granger,IA,Polk County Conservation Police Department,Automated License Plate Readers,Flock Safety,1/10/2024,2024.0
Iowa City,IA,University of Iowa Police Department,Automated License Plate Readers,Flock Safety,,
Urbandale,IA,Urbandale Police Department,Automated License Plate Readers,Flock Safety,,
Waukee,IA,Waukee Police Department,Automated License Plate Readers,Flock Safety,1/10/2024,2024.0
West Des Moines,IA,West Des Moines Police Department,Automated License Plate Readers,Flock Safety,,
Shepherdsville,KY,Bullitt County Sheriff’s Office,Automated License Plate Readers,Flock Safety,3/21/2024,2024.0
Elizabethtown,KY,Hardin County Sheriff’s Office,Automated License Plate Readers,Flock Safety,3/21/2024,2024.0
Shelbyville,KY,Shelby County Sheriff’s Office,Automated License Plate Readers,Flock Safety,3/21/2024,2024.0
Taylorsville,KY,Spencer County Sheriff’s Office,Automated License Plate Readers,Flock Safety,3/21/2024,2024.0
Prosper,TX,Prosper Police Department,Camera Registry,Flock Safety,3/7/2024,2024.0
Comanche,TX,Comanche Police Department,Face Recognition,Bureau of Justice Assistance,9/2/2021,2021.0
Jacksonville,NC,Jacksonville Police Department,Face Recognition,Bureau of Justice Assistance,9/6/2016,2016.0
Bristol,TN,Bristol Police Department,Face Recognition,,9/26/2023,2023.0
Liberty,TX,Liberty Police Department,Third-party Investigative Platforms,TransUnion,11/1/2023,2023.0
Philadelphia,PA,Philadelphia Police Department,Third-party Investigative Platforms,Thomson Reuters,4/25/2022,2022.0
Alexandria,VA,Alexandria Police Department,Automated License Plate Readers,Flock Safety,,
Allen Park,MI,Allen Park Police Department,Automated License Plate Readers,Flock Safety,,
Amberley Village,OH,Amberley Village Police Department,Automated License Plate Readers,Flock Safety,,
Andover,MN,Anoka County Sheriff's Office,Automated License Plate Readers,Flock Safety,,
Apache Junction,AZ,Apache Junction Police Department,Automated License Plate Readers,Flock Safety,,
Arcanum,OH,Arcanum Police Department,Automated License Plate Readers,Flock Safety,,
Arlington,TX,Arlington Police Department,Automated License Plate Readers,Flock Safety,,
Aubrey,TX,Aubrey Police Department,Automated License Plate Readers,Flock Safety,,
Avon,IN,Avon Police Department,Automated License Plate Readers,Flock Safety,,
Bainbridge Township,OH,Bainbridge Township Police Department,Automated License Plate Readers,Flock Safety,,
Barling,AR,Barling Police Department,Automated License Plate Readers,Flock Safety,,
Beecher,IL,Beecher Police Department,Automated License Plate Readers,Flock Safety,,
Belle Isle,FL,Belle Isle Police Department,Automated License Plate Readers,Flock Safety,,
Belmont,NC,Belmont Police Department,Automated License Plate Readers,Flock Safety,,
Bessemer City,NC,Bessemer City Police Department,Automated License Plate Readers,Flock Safety,,
Bloomingdale,IL,Bloomingdale Police Department,Automated License Plate Readers,Flock Safety,,
Bluffton,IN,Bluffton Police Department,Automated License Plate Readers,Flock Safety,,
Bratenahl,OH,Bratenahl Police Department,Automated License Plate Readers,Flock Safety,,
Bridgewater,VA,Bridgewater Police Department,Automated License Plate Readers,Flock Safety,,
Buckeye,AZ,Buckeye Police Department,Automated License Plate Readers,Flock Safety,,
Connelly Springs,NC,Burke County Sheriff's Office,Automated License Plate Readers,Flock Safety,,
El Dorado,KS,Butler County Sheriff's Office,Automated License Plate Readers,Flock Safety,,
Cabot,AR,Cabot Police Department,Automated License Plate Readers,Flock Safety,,
Cayuga Heights Village,NY,Cayuga Heights Village Police Department,Automated License Plate Readers,Flock Safety,,
Cedar Lake,IN,Cedar Lake Police Department,Automated License Plate Readers,Flock Safety,,
Chadbourn,NC,Chadbourn Police Department,Automated License Plate Readers,Flock Safety,,
Chase City,VA,Chase City Police Department,Automated License Plate Readers,Flock Safety,,
Chester,SC,Chester County Sheriff's Office,Automated License Plate Readers,Flock Safety,,
Chesterfield,MO,Chesterfield Police Department,Automated License Plate Readers,Flock Safety,,
Orangeburg,SC,Claflin University Department of Public Safety,Automated License Plate Readers,Flock Safety,,
Shelby,NC,Cleveland County Sheriff's Office,Automated License Plate Readers,Flock Safety,,
Clinton,IA,Clinton Police Department,Automated License Plate Readers,Flock Safety,,
Visalia,CA,College of the Sequoias Police Department,Automated License Plate Readers,Flock Safety,,
Colma,CA,Colma Police Department,Automated License Plate Readers,Flock Safety,,
Columbus,NC,Columbus Police Department,Automated License Plate Readers,Flock Safety,,
New Bern,MC,Craven County Alcoholic Beverage Control Board,Automated License Plate Readers,Flock Safety,,
Creedmoor,NC,Creedmoor Police Department,Automated License Plate Readers,Flock Safety,,
Culpeper,VA,Culpeper Police Department,Automated License Plate Readers,Flock Safety,,
Culver City,CA,Culver City Police Department,Automated License Plate Readers,Flock Safety,,
Mocksville,NC,Davie County Sheriff's Office,Automated License Plate Readers,Flock Safety,,
Del City,OK,Del City Police Department,Automated License Plate Readers,Flock Safety,,
Derby,KS,Derby Police Department,Automated License Plate Readers,Flock Safety,,
Dublin,VA,Dublin Police Department,Automated License Plate Readers,Flock Safety,,
Eatonville,WA,Eatonville Police Department,Automated License Plate Readers,Flock Safety,,
Edgewater,CO,Edgewater Police Department,Automated License Plate Readers,Flock Safety,,
Edmond,OK,Edmond Police Department,Automated License Plate Readers,Flock Safety,,
Elgin,SC,Elgin Police Department,Automated License Plate Readers,Flock Safety,,
Elizabethtown,NC,Elizabethtown Police Department,Automated License Plate Readers,Flock Safety,,
Evanston,IL,Evanston Police Department,Automated License Plate Readers,Flock Safety,,
Evendale,OH,Evendale Police Department,Automated License Plate Readers,Flock Safety,,
Fairfax,VA,Fairfax Police Department,Automated License Plate Readers,Flock Safety,,
Forest Heights,MD,Forest Heights Police Department,Automated License Plate Readers,Flock Safety,,
Forest Park,OH,Forest Park Police Department,Automated License Plate Readers,Flock Safety,,
Fort Smith,AR,Fort Smith Police Department,Automated License Plate Readers,Flock Safety,,
Foster City,CA,Foster City Police Department,Automated License Plate Readers,Flock Safety,,
Franklin,MA,Franklin Police Department,Automated License Plate Readers,Flock Safety,,
Franklinton,NC,Franklinton Police Department,Automated License Plate Readers,Flock Safety,,
Fuquay-Varina,NC,Fuquay-Varina Police Department,Automated License Plate Readers,Flock Safety,,
Genoa Township,OH,Genoa Township Police Department,Automated License Plate Readers,Flock Safety,,
Grand Island,NE,Grand Island Police Department,Automated License Plate Readers,Flock Safety,,
Grandview Heights,OH,Grandview Heights Police Department,Automated License Plate Readers,Flock Safety,,
Great Parks,OH,Great Parks Police Department,Automated License Plate Readers,Flock Safety,,
Grand Island,NE,Hall County Sheriff's Office,Automated License Plate Readers,Flock Safety,,
Cincinnati,OH,Hamilton County Sheriff's Office,Automated License Plate Readers,Flock Safety,,
Hamilton Township,OH,Hamilton Township Police Department,Automated License Plate Readers,Flock Safety,,
Hamlet,NC,Hamlet Police Department,Automated License Plate Readers,Flock Safety,,
Hampton,VA,Hampton Police Department,Automated License Plate Readers,Flock Safety,,
Hanover Park,IL,Hanover Park Police Department,Automated License Plate Readers,Flock Safety,,
Hendersonville,NC,Henderson County Sheriff's Office,Automated License Plate Readers,Flock Safety,,
Danville,IN,Hendricks County Sheriff's Office,Automated License Plate Readers,Flock Safety,,
Hesston,KS,Hesston Police Department,Automated License Plate Readers,Flock Safety,,
Highland,UT,Highland Police Department,Automated License Plate Readers,Flock Safety,,
Hilliard,OH,Hilliard Police Department,Automated License Plate Readers,Flock Safety,,
Raeford,NC,Hoke County Sheriff's Office,Automated License Plate Readers,Flock Safety,,
Holland,OH,Holland Police Department,Automated License Plate Readers,Flock Safety,,
Hubbard,OH,Hubbard Police Department,Automated License Plate Readers,Flock Safety,,
Hudson,NC,Hudson Police Department,Automated License Plate Readers,Flock Safety,,
Huntersville,NC,Huntersville Police Department,Automated License Plate Readers,Flock Safety,,
Indialantic,FL,Indialantic Police Department,Automated License Plate Readers,Flock Safety,,
Indian Hill,OH,Indian Hill Police Department,Automated License Plate Readers,Flock Safety,,
Jemison,AL,Jemison Police Department,Automated License Plate Readers,Flock Safety,,
Franklin,IN,Johnson County Sheriff's Office,Automated License Plate Readers,Flock Safety,,
Johnston,RI,Johnston Police Department,Automated License Plate Readers,Flock Safety,,
Junction City,KS,Junction City Police Department,Automated License Plate Readers,Flock Safety,,
Jupiter Inlet Colony,FL,Jupiter Inlet Colony Police Department,Automated License Plate Readers,Flock Safety,,
Kent,WA,Kent Police Department,Automated License Plate Readers,Flock Safety,,
Hanford,CA,King County District Attorney's Office,Automated License Plate Readers,Flock Safety,,
Lakewood,WA,Lakewood Police Department,Automated License Plate Readers,Flock Safety,,
Greenwood,SC,Lander University Police Department,Automated License Plate Readers,Flock Safety,,
Largo,FL,Largo Police Department,Automated License Plate Readers,Flock Safety,,
Lawton,OK,Lawton Police Department,Automated License Plate Readers,Flock Safety,,
Mahoning Township,PA,Mahoning Township Police Department,Automated License Plate Readers,Flock Safety,,
Maple Bluff,WI,Maple Bluff Police Department,Automated License Plate Readers,Flock Safety,,
Margaret,AL,Margaret Police Department,Automated License Plate Readers,Flock Safety,,
Marine City,MI,Marine City Police Department,Automated License Plate Readers,Flock Safety,,
Marion,OH,Marion County Sheriff's Office,Automated License Plate Readers,Flock Safety,,
Marysville,OH,Marysville Police Department,Automated License Plate Readers,Flock Safety,,
Mentor-on-the-Lake,OH,Mentor-on-the-Lake Police Department,Automated License Plate Readers,Flock Safety,,
Michigan City,IN,Michigan City Police Department,Automated License Plate Readers,Flock Safety,,
Middleburg Heights,OH,Middleburg Heights Police Department,Automated License Plate Readers,Flock Safety,,
Milan,MI,Milan Police Department,Automated License Plate Readers,Flock Safety,,
Mint Hill,NC,Mint Hill Police Department,Automated License Plate Readers,Flock Safety,,
Montgomery Township,NJ,Montgomery Township Police Department,Automated License Plate Readers,Flock Safety,,
Mooresville,IN,Mooresville Police Department,Automated License Plate Readers,Flock Safety,,
Morgan's Point,TX,Morgan's Point Police Department,Automated License Plate Readers,Flock Safety,,
Morgan's Point Resort,TX,Morgan's Point Resort Police Department,Automated License Plate Readers,Flock Safety,,
Moundville,AL,Moundville Police Department,Automated License Plate Readers,Flock Safety,,
Mount Holly,NC,Mount Holly Police Department,Automated License Plate Readers,Flock Safety,,
Mount Vernon,OH,Mount Vernon Police Department,Automated License Plate Readers,Flock Safety,,
Muskogee,OK,Muskogee Police Department,Automated License Plate Readers,Flock Safety,,
Napa,CA,Napa County Sheriff's Office,Automated License Plate Readers,Flock Safety,,
Napoleon Township,MI,Napoleon Township Police Department,Automated License Plate Readers,Flock Safety,,
Nashville,NC,Nashville Police Department,Automated License Plate Readers,Flock Safety,,
North College Hill,OH,North College Hill Police Department,Automated License Plate Readers,Flock Safety,,
Northlake,TX,Northlake Police Department,Automated License Plate Readers,Flock Safety,,
Oberlin,OH,Oberlin Police Department,Automated License Plate Readers,Flock Safety,,
Olmsted Falls,OH,Olmsted Falls Police Department,Automated License Plate Readers,Flock Safety,,
Ontario,OH,Ontario Police Department,Automated License Plate Readers,Flock Safety,,
Pawhuska,OK,Osage County Sheriff's Office,Automated License Plate Readers,Flock Safety,,
Parsons,KS,Parsons Police Department,Automated License Plate Readers,Flock Safety,,
Pawtucket,RI,Pawtucket Police Department,Automated License Plate Readers,Flock Safety,,
Peotone,IL,Peotone Police Department,Automated License Plate Readers,Flock Safety,,
Pierce Township,OH,Pierce Township Police Department,Automated License Plate Readers,Flock Safety,,
Pineville,NC,Pineville Police Department,Automated License Plate Readers,Flock Safety,,
Pittsboro,NC,Pittsboro Police Department,Automated License Plate Readers,Flock Safety,,
Pittsboro,IN,Pittsboro Police Department,Automated License Plate Readers,Flock Safety,,
Pontiac,IL,Pontiac Police Department,Automated License Plate Readers,Flock Safety,,
Valparaiso,IN,Porter County Sheriff's Office,Automated License Plate Readers,Flock Safety,,
Puyallup,WA,Puyallup Police Department,Automated License Plate Readers,Flock Safety,,
Providence,RI,Rhode Island College Police Departmen,Automated License Plate Readers,Flock Safety,,
Mansfield,OH,Richland County Sheriff's Office,Automated License Plate Readers,Flock Safety,,
Richmond,CA,Richmond Police Department,Automated License Plate Readers,Flock Safety,,
River Rouge,MI,River Rouge Police Department,Automated License Plate Readers,Flock Safety,,
Roanoke,VA,Roanoke Police Department,Automated License Plate Readers,Flock Safety,,
Rock Hill,SC,Rock Hill Police Department,Automated License Plate Readers,Flock Safety,,
Roselle,IL,Roselle Police Department,Automated License Plate Readers,Flock Safety,,
Rossford,OH,Rossford Police Department,Automated License Plate Readers,Flock Safety,,
Rossville,GA,Rossville Police Department,Automated License Plate Readers,Flock Safety,,
Roxboro,NC,Roxboro Police Department,Automated License Plate Readers,Flock Safety,,
Papillion,NE,Sarpy County Sheriff's Office,Automated License Plate Readers,Flock Safety,,
Scottsbluff,NE,Scottsbluff Police Department,Automated License Plate Readers,Flock Safety,,
Seelyville,IN,Seelyville Police Department,Automated License Plate Readers,Flock Safety,,
Sharpsburg,NC,Sharpsburg Police Department,Automated License Plate Readers,Flock Safety,,
Sheffield Village,OH,Sheffield Village Police Department,Automated License Plate Readers,Flock Safety,,
Shelbyville,IN,Shelby County Sheriff's Office,Automated License Plate Readers,Flock Safety,,
Shrewsbury,MO,Shrewsbury Police Department,Automated License Plate Readers,Flock Safety,,
Springdale,OH,Springdale Police Department,Automated License Plate Readers,Flock Safety,,
St. Joseph,MO,St. Joseph Police Department,Automated License Plate Readers,Flock Safety,,
Duluth,MN,St. Louis County Sheriff's Office,Automated License Plate Readers,Flock Safety,,
St. Pauls,NC,St. Pauls Police Department,Automated License Plate Readers,Flock Safety,,
Sumpter Township,MI,Sumpter Township Police Department,Automated License Plate Readers,Flock Safety,,
Surfside Beach,SC,Surfside Beach Police Department,Automated License Plate Readers,Flock Safety,,
Sylvania,OH,Sylvania Police Department,Automated License Plate Readers,Flock Safety,,
Temple,GA,Temple Police Department,Automated License Plate Readers,Flock Safety,,
Trotwood,OH,Trotwood Police Department,Automated License Plate Readers,Flock Safety,,
Lafayette,LA,University of Louisiana at Lafayette Police Department,Automated License Plate Readers,Flock Safety,,
Wadsworth,OH,Wadsworth Police Department,Automated License Plate Readers,Flock Safety,,
Lebanon,OH,Warren County Sheriff's Office,Automated License Plate Readers,Flock Safety,,
Warsaw,NC,Warsaw Police Department,Automated License Plate Readers,Flock Safety,,
Waxhaw,NC,Waxhaw Police Department,Automated License Plate Readers,Flock Safety,,
Wayzata,MN,Wayzata Police Department,Automated License Plate Readers,Flock Safety,,
Wellington,KS,Wellington Police Department,Automated License Plate Readers,Flock Safety,,
Bluffton,IN,Wells County Sheriff's Office,Automated License Plate Readers,Flock Safety,,
Wentzville,MO,Wentzville Police Department,Automated License Plate Readers,Flock Safety,,
West Milton,OH,West Milton Police Department,Automated License Plate Readers,Flock Safety,,
Westerville,OH,Westerville Police Department,Automated License Plate Readers,Flock Safety,,
Whitehall,OH,Whitehall Police Department,Automated License Plate Readers,Flock Safety,,
Whiteville,NC,Whiteville Police Department,Automated License Plate Readers,Flock Safety,,
Wolverine Lake,MI,Wolverine Lake Police Department,Automated License Plate Readers,Flock Safety,,
Woodstock,VA,Woodstock Police Department,Automated License Plate Readers,Flock Safety,,
Woodstock,GA,Woodstock Police Department,Automated License Plate Readers,Flock Safety,,
Worthington,OH,Worthington Police Department,Automated License Plate Readers,Flock Safety,,
Wright City,MO,Wright City Police Department,Automated License Plate Readers,Flock Safety,,
Wytheville,VA,Wytheville Police Department,Automated License Plate Readers,Flock Safety,,
Marysville,CA,Yuba County Sheriff's Office,Automated License Plate Readers,Flock Safety,,
Powell,OH,Powell Police Department,Automated License Plate Readers,Flock Safety,,
Polkton,NC,Polkton Police Department,Automated License Plate Readers,Flock Safety,,
Framingham,MA,Massachusetts State Police,Cell-site Simulator,Jacobs Technology,4/5/2024,2024.0
Ellicott City,MD,Howard County Police Department,Cell-site Simulator,Jacobs Technology,2/20/2024,2024.0
Highland,IL,Highland Police Department,Third-party Investigative Platforms,TransUnion,2/24/2023,2023.0
Marble Falls,TX,Marble Falls Police Department,Third-party Investigative Platforms,TransUnion,1/24/2020,2020.0
Morrisville,PA,Morrisville Police Department,Third-party Investigative Platforms,TransUnion,6/12/2024,2024.0
Excelsior Springs,MO,Excelsior Springs Police Department,Automated License Plate Readers,Flock Safety,11/27/2023,2023.0
Olympia,WA,Olympia Police Department,Automated License Plate Readers,Flock Safety,3/1/2024,2024.0
Provo,UT,Provo Police Department,Automated License Plate Readers,Flock Safety,3/19/2024,2024.0
Quincy,FL,Quincy Police Department,Automated License Plate Readers,Flock Safety,1/31/2024,2024.0
South Sioux City,NE,South Sioux City Police Department,Automated License Plate Readers,Flock Safety,3/21/2024,2024.0
Albert Lea,MN,Albert Lea Police Department,Drones,,6/14/2024,2024.0
Ortonville,MN,Big Stone County Sheriff,Drones,,6/14/2024,2024.0
Blaine,MN,Blaine Police Department,Drones,,6/14/2024,2024.0
Brooklyn Park,MN,Brooklyn Park Police Department,Drones,,6/14/2024,2024.0
Champlin,MN,Champlin Police Department,Drones,,6/14/2024,2024.0
Chanhassen,MN,Chanhassen Police Department,Drones,,6/14/2024,2024.0
Montevideo,MN,Chippewa County Sheriff,Drones,,6/14/2024,2024.0
Mantorville,MN,Dodge County Sheriff,Drones,,6/14/2024,2024.0
Elk River,MN,Elk River Police Department,Drones,,6/14/2024,2024.0
Blue Earth,MN,Faribault County Sheriff,Drones,,6/14/2024,2024.0
Faribault,MN,Faribault Police Department,Drones,,6/14/2024,2024.0
Cambridge,MN,Isanti County Sheriff,Drones,,6/14/2024,2024.0
Grand Rapids,MN,Itasca County Sheriff,Drones,,6/14/2024,2024.0
Lino Lakes,MN,Lino Lakes Department of Public Safety,Drones,,6/14/2024,2024.0
Maple Grove,MN,Maple Grove Police Department,Drones,,6/14/2024,2024.0
Maplewood,MN,Maplewood Public Safety,Drones,,6/14/2024,2024.0
Litchfield,MN,Meeker County Sheriff's Office,Drones,,6/14/2024,2024.0
Minneapolis,MN,Minneapolis Police Department,Drones,,6/14/2024,2024.0
New Brighton,MN,New Brighton Department of Public Safety,Drones,,6/14/2024,2024.0
New Ulm,MN,New Ulm Police Department,Drones,,6/14/2024,2024.0
Pine City,MN,Pine County Sheriff,Drones,,6/14/2024,2024.0
Rice,MN,Rice Police Department,Drones,,6/14/2024,2024.0
Roseville,MN,Roseville Police Department,Drones,,6/14/2024,2024.0
St. Francis,MN,St. Francis Police Department,Drones,,6/14/2024,2024.0
St. Louis Park,MN,St. Louis Park Police Department,Drones,,6/14/2024,2024.0
St. Paul,MN,St. Paul Police Department,Drones,,6/14/2024,2024.0
Morris,MN,Stevens County Sheriff,Drones,,6/14/2024,2024.0
Wadena,MN,Wadena Police Department,Drones,,6/14/2024,2024.0
White Bear Lake,MN,White Bear Lake Police Department,Drones,,6/14/2024,2024.0
Granite Falls,MN,Yellow Medicine County Sheriff,Drones,,6/14/2024,2024.0
Olympia,WA,Olympia Police Department,Automated License Plate Readers,Flock Safety,3/1/2024,2024.0
Excelsior Springs,MO,Excelsior Springs Police Department,Automated License Plate Readers,Flock Safety,11/27/2023,2023.0
Provo,UT,Provo Police Department,Automated License Plate Readers,Flock Safety,3/19/2024,2024.0
Quincy,FL,Quincy Police Department,Automated License Plate Readers,Flock Safety,1/31/2024,2024.0
South Sioux City,NE,South Sioux City Police Department,Automated License Plate Readers,Flock Safety,3/21/2024,2024.0
Okanogan,WA,Okanogan County Sheriff's Office,Body-worn Cameras,,05/06/2021,2021.0
Mattawa,WA,Mattawa Police Department,Body-worn Cameras,Axon,2/24/2024,2024.0
Mount Vernon,WA,Skagit County Sheriff's Office,Body-worn Cameras,Axon,11/23/2021,2021.0
Bernardsville,NJ,Bernardsville Police Department,Automated License Plate Readers,Vigilant Solutions,3/9/2020/2020,2020.0
Fife,WA,Fife Police Department,Body-worn Cameras,Axon,04/15/2022,2022.0
Ephrata,WA,Grant County Sheriff's Office,Body-worn Cameras,Axon,7/26/2023,2023.0
Des Moines,WA,Des Moines Police Department,Body-worn Cameras,,12/14/2022,2022.0
Cheyenne,WY,Laramie County Sheriff's Office,Drones,,9/29/2022,2022.0
Anchorage,AK,Anchorage Police Department,Body-worn Cameras,Axon,08/09/2023,2023.0
Lakewood,WA,Lakewood Police Department,Body-worn Cameras,Coban,07/27/2021,2021.0
Pelham,AL,Pelham Police Department,Body-worn Cameras,Axon,12/18/2022,2022.0
Oxford,AL,Oxford Police Department,Body-worn Cameras,,5/4/2022,2022.0
Nome,AK,Nome Police Department,Body-worn Cameras,Axon,11/02/2018,2018.0
San Andreas,CA,Calavera County Sheriff's Office,Body-worn Cameras,,5/25/2021,2021.0
Carrollton,AL,Pickens County Sheriff's Office,Body-worn Cameras,,03/13/2023,2023.0
Citronelle,AL,Citronelle Police Department,Body-worn Cameras,,07/17/2023,2023.0
Moody,AL,Moody Police Department,Body-worn Cameras,Axon,6/8/2024,2024.0
Coquille,OR,Coos County Sheriff's Office,Body-worn Cameras,,07/21/2022,2022.0
Dothan,AL,Houston County Sheriff's Office,Body-worn Cameras,,07/25/2022,2022.0
Opelika,AL,Lee County Sheriff’s Office,Body-worn Cameras,,10/30/2021,2021.0
Jasper,AL,Walker County Sheriff's Office,Body-worn Cameras,Axon,08/15/2023,2023.0
Bay Minnette,AL,Bay Minnete Police Department,Body-worn Cameras,,08/22/2022,2022.0
Daytona Beach,FL,Daytona Beach Police Department,Automated License Plate Readers,Flock Safety,02/15/2023,2023.0
Cape Coral,FL,Cape Coral Police Department,Automated License Plate Readers,Vetted Security Solutions,04/02/2019,2019.0
Port Orange,FL,Port Orange Police Department,Automated License Plate Readers,Flock Safety,05/17/2022,2022.0
Anniston,AL,Anniston Police Department,Body-worn Cameras,Axon,8/31/2018,2018.0
Leesburg,AL,Leesburg Police Department,Body-worn Cameras,,12/15/2021,2021.0
Las Cruces,NM,Las Cruces Police Department,Real-Time Crime Center,,5/6/2024,2024.0
Alton,TX,Alton Police Department,Camera Registry,,,
Livingston,NJ,Livingston Police Department,Automated License Plate Readers,Motorola Solutions,09/01/22,2022.0
Cordova,AK,Cordova Police Department,Body-worn Cameras,Wolfcom,02/2021,2021.0
Grandview,WA,Grandview Police Department,Body-worn Cameras,,02/05/2019,2019.0
Millville,NJ,Millville Police Department,Automated License Plate Readers,Motorola Solutions,02/15/2019,2019.0
Millville,NJ,Millville Police Department,Automated License Plate Readers,Motorola Solutions,02/15/2019,2019.0
Cheney,WA,Eastern Washington University Police Department,Body-worn Cameras,,,
Royal City,WA,Royal City Police Department,Body-worn Cameras,,11/25/2020,2020.0
Gadsden,AL,Etowah County Sheriff's Office,Body-worn Cameras,,1/1/2023,2023.0
Leesburg,AL,Leesburg Police Department,Body-worn Cameras,,12/3/2023,2023.0
Leesburg,VA,Leesburg Police Department,Body-worn Cameras,,3/2022,2022.0
Leesburg,GA,Leesburg Police Department,Body-worn Cameras,,5/28/2015,2015.0
Gardendale,AL,Gardendale Police Department,Body-worn Cameras,Axon,09/18/2019,2019.0
Montgomery,AL,Montgomery County Sheriff’s Office,Body-worn Cameras,Axon,7/23/2015,2015.0
Silverhill,AL,Silverhill Police Department,Body-worn Cameras,Watchguard,09/28/2022,2022.0
Troy,AL,Pike County Sheriffs Office,Body-worn Cameras,,1/7/21,2021.0
Bunnell,FL,Flagler County Sheriff's Office,Automated License Plate Readers,,9/20/2023,2023.0
Orlando,FL,Orlando Police Department,Automated License Plate Readers,No,11/26/2019,2019.0
Delray Beach,FL,Delray Beach Police Department,Automated License Plate Readers,,12/03/2019,2019.0
Haines City,FL,Haines City Police Department,Automated License Plate Readers,"American Traffic Solutions, Flock Safety","June 24, 2020",2020.0
Chickasaw,AL,Chickasaw Police Department,Body-worn Cameras,Axon,10/13/2023,2023.0
Calera,AL,Calera Police Department,Body-worn Cameras,,3/12/2021,2021.0
Tuscaloosa,AL,Tuscaloosa Police Department,Body-worn Cameras,,10/4/2023,2023.0
Adamsville,AL,Adamsville Police Department,Body-worn Cameras,Axon,12/14/2018,2018.0
Athens,AL,Limestone County Sheriff's Office,Body-worn Cameras,Axon,09/11/2023,2023.0
Clayton,AL,Barbour County Sheriff's Office,Body-worn Cameras,,2/23/2023,2023.0
Philippi,WV,Barbour County Sheriff's Office,Body-worn Cameras,,9/17/2021,2021.0
Denver,CO,Denver Police Department,Drones,,5/28/2024,2024.0
Bunnell,CA,Flagler County Sheriff's Office,Drones,,6/17/2024,2024.0
Hawthorne,CA,Hawthorne Police Department,Drones,,6/21/2024,2024.0
Oswego,NY,Oswego Police Department,Drones,,6/13/2024,2024.0
Queen Creek,AZ,Queen Creek Police Department,Drones,,6/5/2024,2024.0
Redondo Beach,CA,Redondo Beach Police Department,Drones,,10/16/2023,2023.0
Schenectady,NY,Schenectady Police Department,Drones,,6/5/2024,2024.0
Beaumont,TX,Beaumont Police Department,Real-Time Crime Center,Fusus,7/20/2024,2024.0
San Francisco,CA,San Francisco Police Department,Drones,,8/6/2024,2024.0
Albany,CA,Albany Police Department,Automated License Plate Readers,Flock Safety,4/12/2024,2024.0
Angels Camp,CA,Angels Camp Police Department,Automated License Plate Readers,Axon,7/17/2024,2024.0
Oroville,CA,Butte County Sheriff's Office,Automated License Plate Readers,Flock Safety,5/20/2024,2024.0
Cloverdale,CA,Cloverdale Police Department,Automated License Plate Readers,,5/24/2023,2023.0
Cotati,CA,Cotati Police Department,Automated License Plate Readers,,8/12/2022,2022.0
El Monte,CA,El Monte Police Department,Automated License Plate Readers,Flock Safety,4/28/2023,2023.0
King City,CA,Kings County Sheriff's Office,Automated License Plate Readers,,11/1/2022,2022.0
Los Banos,CA,Los Banos Police Department,Automated License Plate Readers,,4/5/2023,2023.0
Mammoth Lakes,CA,Mammoth Lakes Police Department,Automated License Plate Readers,Flock Safety,7/17/2024,2024.0
Marysville,CA,Marysville Police Department,Automated License Plate Readers,Motorola Solutions,5/13/2024,2024.0
Bridgeport,CA,Mono County Sheriff's Office,Automated License Plate Readers,,4/25/2022,2022.0
Monterey,CA,Monterey Police Department,Automated License Plate Readers,Flock Safety,,
Porterville,CA,Porterville Police Department,Automated License Plate Readers,,8/9/2024,2024.0
